Methods Information:
09.04.2024 19:37:06
<untitled>  
List:  Volume(ml)       Buffer    ml/min
 ->    0.00 Collect All:  1.00 ml 
01     0.00 to   15.00 BUFFER A     1.00
--------------------------------------------------
--------------------------------------------------
Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:	Events:		
0.000	0.0093	25.41	Start  23.82 min		
0.017	0.0094	25.41	Fraction  24.83 min		
0.033	0.0094	25.41	Fraction  25.83 min		
0.050	0.0093	25.43	Fraction  26.83 min		
0.067	0.0094	25.41	Fraction  27.83 min		
0.083	0.0093	25.41	Fraction  28.83 min		
0.100	0.0093	25.40	Fraction  29.83 min		
0.117	0.0093	25.40	Fraction  30.83 min		
0.133	0.0092	25.40	Fraction  31.83 min		
0.150	0.0092	25.43	Fraction  32.83 min		
0.167	0.0092	25.44	Fraction  33.83 min		
0.183	0.0092	25.44	Fraction  33.94 min		
0.200	0.0093	25.41	End  33.94 min		
0.217	0.0094	25.41			
0.233	0.0095	25.41			
0.250	0.0095	25.41			
0.267	0.0094	25.43			
0.283	0.0094	25.43			
0.300	0.0094	25.41			
0.317	0.0093	25.41			
0.333	0.0093	25.43			
0.350	0.0093	25.44			
0.367	0.0093	25.43			
0.383	0.0093	25.43			
0.400	0.0093	25.44			
0.417	0.0092	25.44			
0.433	0.0091	25.44			
0.450	0.0090	25.44			
0.467	0.0091	25.46			
0.483	0.0092	25.47			
0.500	0.0092	25.47			
0.517	0.0091	25.47			
0.533	0.0091	25.47			
0.550	0.0092	25.49			
0.567	0.0093	25.49			
0.583	0.0093	25.50			
0.600	0.0092	25.50			
0.617	0.0092	25.50			
0.633	0.0092	25.52			
0.650	0.0093	25.52			
0.667	0.0093	25.52			
0.683	0.0093	25.52			
0.700	0.0092	25.52			
0.717	0.0092	25.52			
0.733	0.0092	25.52			
0.750	0.0092	25.52			
0.767	0.0092	25.53			
0.783	0.0092	25.53			
0.800	0.0092	25.53			
0.817	0.0092	25.53			
0.833	0.0092	25.53			
0.850	0.0092	25.53			
0.867	0.0092	25.53			
0.883	0.0092	25.53			
0.900	0.0092	25.55			
0.917	0.0091	25.55			
0.933	0.0091	25.55			
0.950	0.0092	25.55			
0.967	0.0091	25.55			
0.983	0.0091	25.57			
1.000	0.0090	25.57			
1.017	0.0090	25.57			
1.033	0.0091	25.57			
1.050	0.0091	25.55			
1.067	0.0091	25.57			
1.083	0.0091	25.58			
1.100	0.0091	25.58			
1.117	0.0091	25.58			
1.133	0.0091	25.57			
1.150	0.0091	25.57			
1.167	0.0090	25.58			
1.183	0.0091	25.58			
1.200	0.0091	25.58			
1.217	0.0091	25.58			
1.233	0.0090	25.58			
1.250	0.0091	25.58			
1.267	0.0092	25.58			
1.283	0.0092	25.58			
1.300	0.0092	25.60			
1.317	0.0092	25.60			
1.333	0.0093	25.60			
1.350	0.0094	25.60			
1.367	0.0096	25.60			
1.383	0.0099	25.60			
1.400	0.0102	25.60			
1.417	0.0107	25.60			
1.433	0.0115	25.58			
1.450	0.0124	25.60			
1.467	0.0135	25.58			
1.483	0.0148	25.60			
1.500	0.0162	25.55			
1.517	0.0178	25.55			
1.533	0.0195	25.60			
1.550	0.0213	25.60			
1.567	0.0231	25.57			
1.583	0.0251	25.55			
1.600	0.0271	25.55			
1.617	0.0291	25.55			
1.633	0.0311	25.55			
1.650	0.0330	25.57			
1.667	0.0351	25.55			
1.683	0.0371	25.55			
1.700	0.0391	25.55			
1.717	0.0412	25.55			
1.733	0.0432	25.55			
1.750	0.0453	25.55			
1.767	0.0474	25.55			
1.783	0.0492	25.55			
1.800	0.0512	25.55			
1.817	0.0531	25.54			
1.833	0.0551	25.54			
1.850	0.0572	25.55			
1.867	0.0591	25.54			
1.883	0.0610	25.54			
1.900	0.0630	25.55			
1.917	0.0653	25.54			
1.933	0.0677	25.54			
1.950	0.0698	25.54			
1.967	0.0718	25.55			
1.983	0.0739	25.54			
2.000	0.0758	25.54			
2.017	0.0779	25.54			
2.033	0.0801	25.54			
2.050	0.0824	25.54			
2.067	0.0847	25.54			
2.083	0.0872	25.52			
2.100	0.0897	25.54			
2.117	0.0921	25.54			
2.133	0.0945	25.54			
2.150	0.0971	25.54			
2.167	0.0998	25.54			
2.183	0.1025	25.55			
2.200	0.1050	25.55			
2.217	0.1076	25.55			
2.233	0.1101	25.55			
2.250	0.1129	25.57			
2.267	0.1157	25.57			
2.283	0.1183	25.58			
2.300	0.1209	25.58			
2.317	0.1235	25.60			
2.333	0.1262	25.60			
2.350	0.1289	25.60			
2.367	0.1314	25.60			
2.383	0.1338	25.63			
2.400	0.1364	25.64			
2.417	0.1390	25.64			
2.433	0.1414	25.67			
2.450	0.1438	25.69			
2.467	0.1460	25.70			
2.483	0.1485	25.72			
2.500	0.1509	25.73			
2.517	0.1531	25.76			
2.533	0.1552	25.78			
2.550	0.1574	25.81			
2.567	0.1597	25.82			
2.583	0.1618	25.86			
2.600	0.1637	25.87			
2.617	0.1656	25.90			
2.633	0.1676	25.93			
2.650	0.1697	25.96			
2.667	0.1717	25.99			
2.683	0.1736	26.02			
2.700	0.1754	26.07			
2.717	0.1772	26.10			
2.733	0.1791	26.13			
2.750	0.1809	26.16			
2.767	0.1825	26.19			
2.783	0.1839	26.24			
2.800	0.1854	26.28			
2.817	0.1872	26.31			
2.833	0.1889	26.36			
2.850	0.1903	26.37			
2.867	0.1916	26.42			
2.883	0.1930	26.47			
2.900	0.1944	26.50			
2.917	0.1958	26.53			
2.933	0.1972	26.57			
2.950	0.1984	26.60			
2.967	0.1996	26.65			
2.983	0.2009	26.68			
3.000	0.2022	26.72			
3.017	0.2033	26.75			
