Methods Information:
23.04.2024 13:22:19
<untitled>  
List:  Volume(ml)       Buffer    ml/min
01     0.00 to    5.00 BUFFER A     1.00
--------------------------------------------------
--------------------------------------------------
23.04.2024 13:33:58
<untitled>  
List:  Volume(ml)       Buffer    ml/min
01     0.00 to    5.00 BUFFER A     0.50
--------------------------------------------------
--------------------------------------------------
23.04.2024 13:49:22
<untitled>  
List:  Volume(ml)       Buffer    ml/min
01     0.00 to    5.00 BUFFER A     0.50
--------------------------------------------------
--------------------------------------------------
23.04.2024 13:59:55
<untitled>  
List:  Volume(ml)       Buffer    ml/min
01     0.00 to    5.00 BUFFER A     0.50
--------------------------------------------------
--------------------------------------------------
23.04.2024 14:06:49
<untitled>  
List:  Volume(ml)       Buffer    ml/min
01     0.00 to    5.00 BUFFER A     1.00
--------------------------------------------------
--------------------------------------------------
Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:	Events:		
0.000	0.0178	0.00	Start  0.00 min		
0.017	0.0178	0.00	End  5.01 min		
0.033	0.0177	0.00	Start  5.01 min		
0.050	0.0325	0.00	End  15.02 min		
0.067	0.0610	0.00	Start  15.02 min		
0.083	0.0762	0.00	End  25.03 min		
0.100	0.0454	0.00	Start  25.03 min		
0.117	0.0291	0.00	End  35.04 min		
0.133	0.0301	0.00	Start  35.04 min		
0.150	0.0310	0.00	End  40.05 min		
0.167	0.0307	0.00			
0.183	0.0582	0.00			
0.200	0.0543	0.00			
0.217	0.0262	0.00			
0.233	0.0938	0.00			
0.250	0.0899	0.00			
0.267	0.0279	0.00			
0.283	0.0248	0.00			
0.300	0.0314	0.00			
0.317	0.0444	0.00			
0.333	0.0349	0.00			
0.350	0.0127	0.00			
0.367	0.0019	0.00			
0.383	0.0022	0.00			
0.400	0.0024	0.00			
0.417	0.0025	0.00			
0.433	0.0027	0.00			
0.450	0.0029	0.00			
0.467	0.0031	0.00			
0.483	0.0033	0.00			
0.500	0.0035	0.00			
0.517	0.0034	0.00			
0.533	0.0032	0.00			
0.550	0.0029	0.00			
0.567	0.0024	0.00			
0.583	0.0020	0.00			
0.600	0.0016	0.00			
0.617	0.0012	0.00			
0.633	0.0008	0.00			
0.650	0.0005	0.00			
0.667	0.0003	0.00			
0.683	0.0001	0.00			
0.700	0.0000	0.00			
0.717	-0.0002	0.00			
0.733	-0.0003	0.00			
0.750	-0.0005	0.00			
0.767	-0.0006	0.00			
0.783	-0.0006	0.00			
0.800	-0.0006	0.00			
0.817	-0.0007	0.00			
0.833	-0.0008	0.00			
0.850	-0.0007	0.00			
0.867	-0.0008	0.00			
0.883	-0.0008	0.00			
0.900	-0.0009	0.00			
0.917	-0.0010	0.00			
0.933	-0.0010	0.00			
0.950	-0.0010	0.00			
0.967	-0.0009	0.00			
0.983	-0.0010	0.00			
1.000	-0.0011	0.00			
1.017	-0.0012	0.00			
1.033	-0.0011	0.00			
1.050	-0.0012	0.00			
1.067	-0.0013	0.00			
1.083	-0.0013	0.00			
1.100	-0.0012	0.00			
1.117	-0.0012	0.00			
1.133	-0.0012	0.00			
1.150	-0.0012	0.00			
1.167	-0.0012	0.00			
1.183	-0.0012	0.00			
1.200	-0.0012	0.00			
1.217	-0.0013	0.00			
1.233	-0.0013	0.00			
1.250	-0.0012	0.00			
1.267	-0.0013	0.00			
1.283	-0.0012	0.00			
1.300	-0.0012	0.00			
1.317	-0.0013	0.00			
1.333	-0.0012	0.00			
1.350	-0.0014	0.00			
1.367	-0.0014	0.00			
1.383	-0.0013	0.00			
1.400	-0.0014	0.00			
1.417	-0.0013	0.00			
1.433	-0.0013	0.00			
1.450	-0.0013	0.00			
1.467	-0.0013	0.00			
1.483	-0.0014	0.00			
1.500	-0.0014	0.00			
1.517	-0.0015	0.00			
1.533	-0.0016	0.00			
1.550	-0.0016	0.00			
1.567	-0.0016	0.00			
1.583	-0.0017	0.00			
1.600	-0.0017	0.00			
1.617	-0.0018	0.00			
1.633	-0.0018	0.00			
1.650	-0.0017	0.00			
1.667	-0.0017	0.00			
1.683	-0.0017	0.00			
1.700	-0.0017	0.00			
1.717	-0.0018	0.00			
1.733	-0.0018	0.00			
1.750	-0.0017	0.00			
1.767	-0.0017	0.00			
1.783	-0.0017	0.00			
1.800	-0.0017	0.00			
1.817	-0.0017	0.00			
1.833	-0.0016	0.00			
1.850	-0.0015	0.00			
1.867	-0.0014	0.00			
1.883	-0.0015	0.00			
1.900	-0.0015	0.00			
1.917	-0.0014	0.00			
1.933	-0.0014	0.00			
1.950	-0.0013	0.00			
1.967	-0.0012	0.00			
1.983	-0.0011	0.00			
2.000	-0.0009	0.00			
2.017	-0.0007	0.00			
2.033	-0.0005	0.00			
2.050	-0.0003	0.00			
2.067	0.0000	0.00			
2.083	0.0003	0.00			
2.100	0.0007	0.00			
2.117	0.0011	0.00			
2.133	0.0015	0.00			
2.150	0.0020	0.00			
2.167	0.0026	0.00			
2.183	0.0033	0.10			
2.200	0.0038	0.36			
2.217	0.0042	0.73			
2.233	0.0048	1.29			
2.250	0.0055	2.02			
2.267	0.0062	3.11			
2.283	0.0068	4.70			
2.300	0.0072	6.51			
2.317	0.0077	9.16			
2.333	0.0082	12.73			
2.350	0.0084	16.40			
2.367	0.0087	20.62			
2.383	0.0091	25.26			
2.400	0.0096	29.36			
2.417	0.0099	33.30			
2.433	0.0102	38.71			
2.450	0.0105	43.70			
2.467	0.0107	51.08			
2.483	0.0109	57.64			
2.500	0.0110	62.03			
2.517	0.0112	70.40			
2.533	0.0114	75.01			
2.550	0.0113	80.06			
2.567	0.0114	84.19			
2.583	0.0115	89.26			
2.600	0.0117	93.53			
2.617	0.0117	96.05			
2.633	0.0118	98.39			
2.650	0.0119	100.89			
2.667	0.0120	104.60			
2.683	0.0120	106.01			
2.700	0.0120	108.24			
2.717	0.0119	110.69			
2.733	0.0118	113.22			
2.750	0.0119	114.90			
2.767	0.0119	115.24			
2.783	0.0119	114.95			
2.800	0.0118	117.12			
2.817	0.0118	118.68			
2.833	0.0118	119.02			
2.850	0.0118	119.22			
2.867	0.0116	120.62			
2.883	0.0115	121.23			
2.900	0.0115	121.71			
2.917	0.0115	122.22			
2.933	0.0116	122.86			
2.950	0.0115	123.15			
2.967	0.0115	123.33			
2.983	0.0115	123.56			
3.000	0.0114	123.78			
3.017	0.0113	124.03			
3.033	0.0111	124.29			
3.050	0.0111	124.29			
3.067	0.0110	124.50			
3.083	0.0110	124.61			
3.100	0.0111	124.60			
3.117	0.0110	124.73			
3.133	0.0109	124.78			
3.150	0.0110	124.89			
3.167	0.0109	125.02			
3.183	0.0109	124.99			
3.200	0.0109	125.08			
3.217	0.0107	125.23			
3.233	0.0107	125.20			
3.250	0.0107	125.25			
3.267	0.0106	125.18			
3.283	0.0106	125.20			
3.300	0.0107	125.04			
3.317	0.0106	125.10			
3.333	0.0105	125.05			
3.350	0.0105	124.87			
3.367	0.0104	124.78			
3.383	0.0104	124.92			
3.400	0.0102	124.97			
3.417	0.0103	124.71			
3.433	0.0104	124.97			
3.450	0.0103	124.91			
3.467	0.0104	124.55			
3.483	0.0103	124.45			
3.500	0.0102	124.45			
3.517	0.0101	124.42			
3.533	0.0101	124.47			
3.550	0.0101	124.26			
3.567	0.0100	124.11			
3.583	0.0100	124.13			
3.600	0.0100	124.09			
3.617	0.0100	124.04			
3.633	0.0099	123.77			
3.650	0.0098	123.24			
3.667	0.0098	123.09			
3.683	0.0099	123.00			
3.700	0.0098	123.13			
3.717	0.0097	123.14			
3.733	0.0097	122.90			
3.750	0.0097	122.88			
3.767	0.0096	122.71			
3.783	0.0096	122.58			
3.800	0.0097	122.43			
3.817	0.0097	122.43			
3.833	0.0097	122.58			
3.850	0.0097	122.67			
3.867	0.0096	122.48			
3.883	0.0095	122.30			
3.900	0.0095	122.46			
3.917	0.0095	122.14			
3.933	0.0095	122.02			
3.950	0.0095	122.06			
3.967	0.0094	122.04			
3.983	0.0093	121.96			
4.000	0.0093	121.96			
4.017	0.0093	121.68			
4.033	0.0093	121.78			
4.050	0.0093	121.86			
4.067	0.0092	121.47			
4.083	0.0092	121.52			
4.100	0.0092	121.23			
4.117	0.0093	121.21			
4.133	0.0093	121.31			
4.150	0.0092	121.00			
4.167	0.0092	120.44			
4.183	0.0092	120.10			
4.200	0.0091	120.06			
4.217	0.0091	120.32			
4.233	0.0091	120.79			
4.250	0.0091	120.32			
4.267	0.0091	119.95			
4.283	0.0090	119.59			
4.300	0.0090	119.87			
4.317	0.0090	120.24			
4.333	0.0090	120.25			
4.350	0.0090	120.14			
4.367	0.0090	120.21			
4.383	0.0089	120.17			
4.400	0.0089	120.11			
4.417	0.0088	119.90			
