Methods Information:
21.02.2024 19:05:16
<untitled>  
List:  Volume(ml)       Buffer    ml/min
01     0.00 to   10.00 BUFFER A     1.00
02    10.00 to   20.00   0-57%B     1.00
03    20.00 to   40.00 57-100%B     0.10
--------------------------------------------------
--------------------------------------------------
21.02.2024 19:39:24
<untitled>  
List:  Volume(ml)       Buffer    ml/min
 ->    0.00 Collect All:  1.00 ml 
01     0.00 to   12.00 BUFFER A     1.00
--------------------------------------------------
--------------------------------------------------
21.02.2024 19:50:45
<untitled>  
List:  Volume(ml)       Buffer    ml/min
 ->    0.00 Collect All:  1.00 ml 
01     0.00 to   12.00 BUFFER A     1.00
--------------------------------------------------
--------------------------------------------------
Time [min.]:	UV [A.U.]:		Events:		
0.000	0.0207		Start  62.22 min		
0.017	0.0205		End  282.22 min		
0.033	0.0200		Start  293.91 min		
0.050	0.0196		Fraction  294.91 min		
0.067	0.0192		Fraction  295.91 min		
0.083	0.0188		Fraction  296.91 min		
0.100	0.0183		Fraction  297.91 min		
0.117	0.0179		Fraction  298.91 min		
0.133	0.0174		Fraction  299.91 min		
0.150	0.0169		Fraction  300.91 min		
0.167	0.0164		Fraction  301.91 min		
0.183	0.0161		Pause  301.92 min		
0.200	0.0156		End  301.92 min		
0.217	0.0152		Start  301.92 min		
0.233	0.0148		Fraction  302.92 min		
0.250	0.0145		Fraction  303.92 min		
0.267	0.0141		Fraction  304.92 min		
0.283	0.0139		Fraction  305.92 min		
0.300	0.0136		Fraction  306.92 min		
0.317	0.0131		Fraction  307.92 min		
0.333	0.0128		Fraction  308.92 min		
0.350	0.0125		Fraction  309.92 min		
0.367	0.0123		Fraction  310.92 min		
0.383	0.0120		Fraction  311.92 min		
0.400	0.0117		Pause  312.92 min		
0.417	0.0116		Fraction  312.92 min		
0.433	0.0115		End  312.92 min		
0.450	0.0115				
0.467	0.0117				
0.483	0.0119				
0.500	0.0124				
0.517	0.0132				
0.533	0.0145				
0.550	0.0160				
0.567	0.0178				
0.583	0.0199				
0.600	0.0223				
0.617	0.0250				
0.633	0.0280				
0.650	0.0311				
0.667	0.0341				
0.683	0.0374				
0.700	0.0408				
0.717	0.0444				
0.733	0.0478				
0.750	0.0511				
0.767	0.0541				
0.783	0.0573				
0.800	0.0607				
0.817	0.0644				
0.833	0.0680				
0.850	0.0718				
0.867	0.0759				
0.883	0.0802				
0.900	0.0843				
0.917	0.0879				
0.933	0.0914				
0.950	0.0952				
0.967	0.0992				
0.983	0.1031				
1.000	0.1072				
1.017	0.1117				
1.033	0.1167				
1.050	0.1219				
1.067	0.1270				
1.083	0.1323				
1.100	0.1378				
1.117	0.1434				
1.133	0.1491				
1.150	0.1547				
1.167	0.1601				
1.183	0.1656				
1.200	0.1713				
1.217	0.1770				
1.233	0.1826				
1.250	0.1882				
1.267	0.1939				
1.283	0.1999				
1.300	0.2055				
1.317	0.2110				
1.333	0.2164				
1.350	0.2220				
1.367	0.2277				
1.383	0.2332				
1.400	0.2385				
1.417	0.2437				
1.433	0.2491				
1.450	0.2544				
1.467	0.2597				
1.483	0.2647				
1.500	0.2695				
1.517	0.2744				
1.533	0.2796				
1.550	0.2846				
1.567	0.2892				
1.583	0.2937				
1.600	0.2983				
1.617	0.3031				
1.633	0.3077				
1.650	0.3121				
1.667	0.3162				
1.683	0.3205				
1.700	0.3247				
1.717	0.3290				
1.733	0.3332				
1.750	0.3371				
1.767	0.3408				
1.783	0.3446				
1.800	0.3484				
1.817	0.3520				
1.833	0.3555				
1.850	0.3590				
1.867	0.3625				
1.883	0.3658				
1.900	0.3690				
1.917	0.3720				
1.933	0.3751				
1.950	0.3781				
1.967	0.3812				
1.983	0.3840				
2.000	0.3867				
2.017	0.3894				
2.033	0.3923				
2.050	0.3950				
2.067	0.3974				
2.083	0.3997				
2.100	0.4021				
2.117	0.4045				
2.133	0.4067				
2.150	0.4089				
2.167	0.4109				
2.183	0.4131				
2.200	0.4153				
2.217	0.4175				
2.233	0.4195				
2.250	0.4215				
2.267	0.4235				
2.283	0.4254				
2.300	0.4273				
2.317	0.4291				
2.333	0.4310				
2.350	0.4327				
2.367	0.4346				
2.383	0.4365				
2.400	0.4379				
2.417	0.4396				
2.433	0.4413				
2.450	0.4429				
2.467	0.4443				
2.483	0.4458				
2.500	0.4472				
2.517	0.4487				
2.533	0.4501				
2.550	0.4515				
2.567	0.4529				
2.583	0.4542				
2.600	0.4556				
2.617	0.4570				
2.633	0.4584				
2.650	0.4596				
2.667	0.4609				
2.683	0.4622				
2.700	0.4633				
2.717	0.4643				
2.733	0.4655				
2.750	0.4665				
2.767	0.4677				
2.783	0.4689				
2.800	0.4699				
2.817	0.4708				
2.833	0.4719				
2.850	0.4731				
2.867	0.4740				
2.883	0.4750				
2.900	0.4759				
2.917	0.4768				
2.933	0.4778				
2.950	0.4788				
2.967	0.4796				
2.983	0.4803				
3.000	0.4812				
3.017	0.4821				
3.033	0.4829				
3.050	0.4835				
3.067	0.4844				
3.083	0.4852				
3.100	0.4861				
3.117	0.4870				
3.133	0.4877				
3.150	0.4883				
3.167	0.4890				
3.183	0.4899				
3.200	0.4905				
3.217	0.4911				
3.233	0.4916				
3.250	0.4922				
3.267	0.4928				
3.283	0.4935				
3.300	0.4941				
3.317	0.4948				
3.333	0.4954				
3.350	0.4959				
3.367	0.4966				
3.383	0.4971				
3.400	0.4974				
3.417	0.4981				
3.433	0.4988				
3.450	0.4993				
3.467	0.4998				
3.483	0.5002				
3.500	0.5008				
3.517	0.5013				
3.533	0.5018				
3.550	0.5022				
3.567	0.5027				
3.583	0.5033				
3.600	0.5038				
3.617	0.5042				
3.633	0.5045				
3.650	0.5049				
3.667	0.5055				
3.683	0.5059				
3.700	0.5062				
3.717	0.5065				
3.733	0.5069				
3.750	0.5074				
3.767	0.5077				
3.783	0.5081				
3.800	0.5086				
3.817	0.5089				
3.833	0.5092				
3.850	0.5096				
3.867	0.5100				
3.883	0.5105				
3.900	0.5109				
3.917	0.5113				
3.933	0.5115				
3.950	0.5117				
3.967	0.5120				
3.983	0.5124				
4.000	0.5126				
4.017	0.5128				
4.033	0.5133				
4.050	0.5137				
4.067	0.5139				
4.083	0.5141				
4.100	0.5144				
4.117	0.5147				
4.133	0.5149				
4.150	0.5151				
4.167	0.5155				
4.183	0.5157				
4.200	0.5161				
4.217	0.5163				
4.233	0.5166				
4.250	0.5169				
4.267	0.5173				
4.283	0.5176				
4.300	0.5177				
4.317	0.5178				
4.333	0.5181				
4.350	0.5183				
4.367	0.5185				
4.383	0.5187				
4.400	0.5189				
4.417	0.5190				
4.433	0.5193				
4.450	0.5196				
4.467	0.5198				
4.483	0.5201				
4.500	0.5203				
4.517	0.5205				
4.533	0.5207				
4.550	0.5209				
4.567	0.5211				
4.583	0.5212				
4.600	0.5215				
4.617	0.5216				
4.633	0.5220				
4.650	0.5220				
4.667	0.5223				
4.683	0.5226				
4.700	0.5227				
4.717	0.5227				
4.733	0.5230				
4.750	0.5234				
4.767	0.5236				
4.783	0.5238				
4.800	0.5238				
4.817	0.5239				
4.833	0.5241				
4.850	0.5243				
4.867	0.5245				
4.883	0.5247				
4.900	0.5250				
4.917	0.5251				
4.933	0.5252				
4.950	0.5254				
4.967	0.5254				
4.983	0.5253				
5.000	0.5256				
5.017	0.5259				
5.033	0.5260				
5.050	0.5262				
5.067	0.5263				
5.083	0.5265				
5.100	0.5269				
5.117	0.5270				
5.133	0.5271				
5.150	0.5272				
5.167	0.5274				
5.183	0.5275				
5.200	0.5276				
5.217	0.5277				
5.233	0.5277				
5.250	0.5280				
5.267	0.5282				
5.283	0.5283				
5.300	0.5285				
5.317	0.5287				
5.333	0.5289				
5.350	0.5290				
5.367	0.5292				
5.383	0.5293				
5.400	0.5295				
5.417	0.5295				
5.433	0.5296				
5.450	0.5297				
5.467	0.5298				
5.483	0.5299				
5.500	0.5302				
5.517	0.5303				
5.533	0.5303				
5.550	0.5306				
5.567	0.5306				
5.583	0.5307				
5.600	0.5308				
5.617	0.5308				
5.633	0.5309				
5.650	0.5310				
5.667	0.5311				
5.683	0.5312				
5.700	0.5315				
5.717	0.5318				
5.733	0.5317				
5.750	0.5319				
5.767	0.5321				
5.783	0.5321				
5.800	0.5323				
5.817	0.5325				
5.833	0.5325				
5.850	0.5324				
5.867	0.5325				
5.883	0.5325				
5.900	0.5328				
5.917	0.5331				
5.933	0.5332				
5.950	0.5333				
5.967	0.5334				
5.983	0.5336				
6.000	0.5336				
6.017	0.5336				
6.033	0.5336				
6.050	0.5335				
6.067	0.5337				
6.083	0.5338				
6.100	0.5340				
6.117	0.5343				
6.133	0.5344				
6.150	0.5344				
6.167	0.5344				
6.183	0.5345				
6.200	0.5346				
6.217	0.5348				
6.233	0.5350				
6.250	0.5352				
6.267	0.5351				
6.283	0.5351				
6.300	0.5352				
6.317	0.5355				
6.333	0.5357				
6.350	0.5358				
6.367	0.5360				
6.383	0.5359				
6.400	0.5360				
6.417	0.5362				
6.433	0.5364				
6.450	0.5363				
6.467	0.5364				
6.483	0.5365				
6.500	0.5365				
6.517	0.5367				
6.533	0.5367				
6.550	0.5368				
6.567	0.5367				
6.583	0.5369				
6.600	0.5371				
6.617	0.5373				
6.633	0.5373				
6.650	0.5370				
6.667	0.5373				
6.683	0.5375				
6.700	0.5376				
6.717	0.5377				
6.733	0.5377				
6.750	0.5378				
6.767	0.5381				
6.783	0.5381				
6.800	0.5380				
6.817	0.5381				
6.833	0.5383				
6.850	0.5384				
6.867	0.5385				
6.883	0.5384				
6.900	0.5386				
6.917	0.5387				
6.933	0.5389				
6.950	0.5389				
6.967	0.5391				
6.983	0.5391				
7.000	0.5392				
7.017	0.5392				
7.033	0.5391				
7.050	0.5391				
7.067	0.5393				
7.083	0.5395				
7.100	0.5397				
7.117	0.5396				
7.133	0.5396				
7.150	0.5397				
7.167	0.5398				
7.183	0.5398				
7.200	0.5397				
7.217	0.5400				
7.233	0.5402				
7.250	0.5404				
7.267	0.5403				
7.283	0.5401				
7.300	0.5402				
7.317	0.5405				
7.333	0.5406				
7.350	0.5407				
7.367	0.5406				
7.383	0.5406				
7.400	0.5408				
7.417	0.5408				
7.433	0.5410				
7.450	0.5411				
7.467	0.5412				
7.483	0.5414				
7.500	0.5414				
7.517	0.5415				
7.533	0.5415				
7.550	0.5416				
7.567	0.5417				
7.583	0.5418				
7.600	0.5418				
7.617	0.5418				
7.633	0.5418				
7.650	0.5418				
7.667	0.5418				
7.683	0.5419				
7.700	0.5419				
7.717	0.5420				
7.733	0.5421				
7.750	0.5422				
7.767	0.5422				
7.783	0.5423				
7.800	0.5424				
7.817	0.5425				
7.833	0.5428				
7.850	0.5427				
7.867	0.5426				
7.883	0.5427				
7.900	0.5428				
7.917	0.5429				
7.933	0.5430				
7.950	0.5431				
7.967	0.5431				
7.983	0.5430				
8.000	0.5430				
8.017	0.5432				
8.033	0.5433				
8.050	0.5434				
8.067	0.5434				
8.083	0.5435				
8.100	0.5436				
8.117	0.5436				
8.133	0.5437				
8.150	0.5437				
8.167	0.5439				
8.183	0.5440				
8.200	0.5439				
8.217	0.5440				
8.233	0.5439				
8.250	0.5440				
8.267	0.5442				
8.283	0.5444				
8.300	0.5444				
8.317	0.5446				
8.333	0.5448				
8.350	0.5447				
8.367	0.5447				
8.383	0.5447				
8.400	0.5448				
8.417	0.5448				
8.433	0.5449				
8.450	0.5450				
8.467	0.5449				
8.483	0.5450				
8.500	0.5451				
8.517	0.5450				
8.533	0.5450				
8.550	0.5452				
8.567	0.5452				
8.583	0.5452				
8.600	0.5453				
8.617	0.5453				
8.633	0.5455				
8.650	0.5456				
8.667	0.5457				
8.683	0.5456				
8.700	0.5456				
8.717	0.5456				
8.733	0.5458				
8.750	0.5457				
8.767	0.5458				
8.783	0.5458				
8.800	0.5458				
8.817	0.5458				
8.833	0.5459				
8.850	0.5460				
8.867	0.5461				
8.883	0.5462				
8.900	0.5462				
8.917	0.5462				
8.933	0.5462				
8.950	0.5463				
8.967	0.5465				
8.983	0.5466				
9.000	0.5465				
9.017	0.5464				
9.033	0.5463				
9.050	0.5465				
9.067	0.5468				
9.083	0.5467				
9.100	0.5466				
9.117	0.5468				
9.133	0.5469				
9.150	0.5469				
9.167	0.5470				
9.183	0.5468				
9.200	0.5469				
9.217	0.5469				
9.233	0.5470				
9.250	0.5472				
9.267	0.5472				
9.283	0.5471				
9.300	0.5472				
9.317	0.5474				
9.333	0.5475				
9.350	0.5474				
9.367	0.5476				
9.383	0.5477				
9.400	0.5477				
9.417	0.5478				
9.433	0.5477				
9.450	0.5479				
9.467	0.5480				
9.483	0.5481				
9.500	0.5480				
9.517	0.5480				
9.533	0.5478				
9.550	0.5479				
9.567	0.5481				
9.583	0.5481				
9.600	0.5480				
9.617	0.5482				
9.633	0.5482				
9.650	0.5482				
9.667	0.5484				
9.683	0.5484				
9.700	0.5484				
9.717	0.5485				
9.733	0.5484				
9.750	0.5483				
9.767	0.5483				
9.783	0.5484				
9.800	0.5485				
9.817	0.5486				
9.833	0.5488				
9.850	0.5489				
9.867	0.5489				
9.883	0.5488				
9.900	0.5489				
9.917	0.5489				
9.933	0.5489				
9.950	0.5488				
9.967	0.5489				
9.983	0.5489				
10.000	0.5491				
10.017	0.5490				
10.033	0.5491				
10.050	0.5490				
10.067	0.5490				
