Methods Information:
10.04.2024 19:00:18
<untitled>  
List:  Volume(ml)       Buffer    ml/min
 ->    0.00 Collect All:  1.00 ml 
01     0.00 to   15.00 BUFFER A     1.00
--------------------------------------------------
--------------------------------------------------
Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:	Events:		
0.000	0.0044	41.36	Start  14.44 min		
0.017	0.0044	41.34	Fraction  15.44 min		
0.033	0.0044	41.34	Fraction  16.44 min		
0.050	0.0043	41.34	Fraction  17.44 min		
0.067	0.0042	41.34	Fraction  18.44 min		
0.083	0.0041	41.43	Fraction  19.44 min		
0.100	0.0040	41.51	Fraction  20.44 min		
0.117	0.0039	41.56	Fraction  21.44 min		
0.133	0.0040	41.61	Fraction  22.44 min		
0.150	0.0040	41.62	Fraction  23.44 min		
0.167	0.0041	41.66	Fraction  24.44 min		
0.183	0.0042	41.67	Fraction  25.44 min		
0.200	0.0042	41.69	Fraction  26.33 min		
0.217	0.0041	41.71	End  26.33 min		
0.233	0.0041	41.72			
0.250	0.0042	41.74			
0.267	0.0042	41.75			
0.283	0.0043	41.77			
0.300	0.0043	41.77			
0.317	0.0044	41.79			
0.333	0.0046	41.80			
0.350	0.0047	41.80			
0.367	0.0048	41.82			
0.383	0.0050	41.82			
0.400	0.0052	41.85			
0.417	0.0052	41.85			
0.433	0.0052	41.87			
0.450	0.0053	41.80			
0.467	0.0053	41.83			
0.483	0.0053	41.85			
0.500	0.0054	41.87			
0.517	0.0054	41.88			
0.533	0.0056	41.90			
0.550	0.0056	41.90			
0.567	0.0056	41.92			
0.583	0.0057	41.92			
0.600	0.0058	41.93			
0.617	0.0058	41.95			
0.633	0.0059	41.97			
0.650	0.0059	41.97			
0.667	0.0058	41.97			
0.683	0.0058	41.98			
0.700	0.0057	41.98			
0.717	0.0058	42.00			
0.733	0.0058	42.01			
0.750	0.0058	41.96			
0.767	0.0058	41.95			
0.783	0.0058	41.96			
0.800	0.0058	41.98			
0.817	0.0057	41.98			
0.833	0.0057	41.98			
0.850	0.0058	41.98			
0.867	0.0058	42.00			
0.883	0.0057	42.00			
0.900	0.0056	42.00			
0.917	0.0057	42.00			
0.933	0.0057	42.01			
0.950	0.0056	42.01			
0.967	0.0056	42.01			
0.983	0.0056	42.01			
1.000	0.0056	42.03			
1.017	0.0055	42.03			
1.033	0.0055	41.96			
1.050	0.0056	41.98			
1.067	0.0057	41.98			
1.083	0.0057	41.98			
1.100	0.0056	41.99			
1.117	0.0056	41.99			
1.133	0.0056	41.99			
1.150	0.0055	41.99			
1.167	0.0054	41.99			
1.183	0.0054	42.01			
1.200	0.0054	42.03			
1.217	0.0054	42.01			
1.233	0.0054	42.01			
1.250	0.0054	42.01			
1.267	0.0054	42.01			
1.283	0.0054	41.92			
1.300	0.0054	41.92			
1.317	0.0055	41.94			
1.333	0.0054	41.94			
1.350	0.0053	41.94			
1.367	0.0053	41.94			
1.383	0.0055	41.94			
1.400	0.0057	41.94			
1.417	0.0058	41.94			
1.433	0.0061	41.94			
1.450	0.0064	41.96			
1.467	0.0067	41.96			
1.483	0.0072	41.96			
1.500	0.0078	41.96			
1.517	0.0085	41.96			
1.533	0.0093	41.97			
1.550	0.0101	41.99			
1.567	0.0110	41.99			
1.583	0.0121	41.99			
1.600	0.0133	41.92			
1.617	0.0147	41.92			
1.633	0.0162	41.94			
1.650	0.0177	41.94			
1.667	0.0192	41.94			
1.683	0.0209	41.95			
1.700	0.0227	41.95			
1.717	0.0245	41.95			
1.733	0.0264	41.97			
1.750	0.0283	41.97			
1.767	0.0302	41.95			
1.783	0.0321	41.97			
1.800	0.0342	41.97			
1.817	0.0362	41.97			
1.833	0.0383	41.97			
1.850	0.0403	41.95			
1.867	0.0426	41.97			
1.883	0.0444	41.90			
1.900	0.0458	41.76			
1.917	0.0462	41.69			
1.933	0.0460	41.66			
1.950	0.0457	41.63			
1.967	0.0456	41.61			
1.983	0.0456	41.58			
2.000	0.0456	41.58			
2.017	0.0456	41.56			
2.033	0.0455	41.53			
2.050	0.0455	41.53			
2.067	0.0456	41.53			
2.083	0.0455	41.50			
2.100	0.0456	41.40			
2.117	0.0458	41.38			
2.133	0.0455	41.37			
2.150	0.0447	41.38			
2.167	0.0442	41.40			
2.183	0.0440	41.40			
2.200	0.0440	41.40			
2.217	0.0440	41.42			
2.233	0.0439	41.43			
2.250	0.0438	41.43			
2.267	0.0439	41.43			
2.283	0.0439	41.43			
2.300	0.0439	41.43			
2.317	0.0438	41.43			
2.333	0.0438	41.42			
2.350	0.0437	41.42			
2.367	0.0437	41.40			
2.383	0.0438	41.40			
2.400	0.0438	41.38			
2.417	0.0438	41.38			
2.433	0.0438	41.40			
2.450	0.0438	41.40			
2.467	0.0438	41.38			
2.483	0.0438	41.38			
2.500	0.0438	41.37			
2.517	0.0438	41.38			
2.533	0.0438	41.37			
2.550	0.0438	41.38			
2.567	0.0437	41.37			
2.583	0.0438	41.35			
2.600	0.0437	41.35			
2.617	0.0446	41.38			
2.633	0.0461	41.42			
2.650	0.0474	41.45			
2.667	0.0479	41.46			
2.683	0.0470	41.50			
2.700	0.0478	41.50			
2.717	0.0502	41.51			
