Methods Information:
30.04.2024 12:38:17
<untitled>  
List:  Volume(ml)       Buffer    ml/min
 ->    0.00 Collect All:  1.50 ml 
01     0.00 to    6.00 BUFFER A     0.50
--------------------------------------------------
--------------------------------------------------
30.04.2024 12:43:40
<untitled>  
List:  Volume(ml)       Buffer    ml/min
01     0.00 to    5.00 BUFFER A     1.00
--------------------------------------------------
--------------------------------------------------
30.04.2024 13:20:54
<untitled>  
List:  Volume(ml)       Buffer    ml/min
 ->    0.00 Collect All:  1.50 ml 
01     0.00 to   20.00  0-100%B     0.70
02    20.00 to   23.00 BUFFER B     1.00
--------------------------------------------------
--------------------------------------------------
30.04.2024 13:29:32
<untitled>  
List:  Volume(ml)       Buffer    ml/min
01     0.00 to    5.00 BUFFER B     1.00
--------------------------------------------------
--------------------------------------------------
Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:	Events:		
0.000	-0.0002	7.48	Start  0.00 min		
0.017	-0.0003	7.46	Fraction  3.00 min		
0.033	-0.0003	7.46	Fraction  6.00 min		
0.050	-0.0004	7.46	Fraction  9.00 min		
0.067	-0.0004	7.46	Fraction  12.00 min		
0.083	-0.0003	7.46	End  12.01 min		
0.100	-0.0002	7.46	Start  12.01 min		
0.117	-0.0002	7.44	End  17.02 min		
0.133	-0.0002	7.46	Start  17.02 min		
0.150	-0.0002	7.44	Fraction  19.17 min		
0.167	-0.0002	7.44	Fraction  21.31 min		
0.183	-0.0003	7.44	Fraction  23.45 min		
0.200	-0.0002	7.44	Fraction  25.59 min		
0.217	0.0000	7.44	Fraction  27.74 min		
0.233	0.0001	7.44	Fraction  29.88 min		
0.250	0.0002	7.46	Fraction  32.02 min		
0.267	0.0002	7.46	Fraction  34.17 min		
0.283	0.0001	7.44	Fraction  36.31 min		
0.300	0.0001	7.44	Fraction  38.45 min		
0.317	0.0000	7.44	Fraction  40.59 min		
0.333	-0.0001	7.43	Fraction  42.74 min		
0.350	-0.0002	7.43	Fraction  44.88 min		
0.367	-0.0003	7.44	Fraction  46.60 min		
0.383	-0.0003	7.44	Fraction  48.10 min		
0.400	-0.0004	7.43	Fraction  48.60 min		
0.417	-0.0002	7.43	End  48.60 min		
0.433	-0.0001	7.43	Start  48.60 min		
0.450	-0.0001	7.43	End  53.61 min		
0.467	-0.0001	7.43			
0.483	-0.0001	7.43			
0.500	-0.0001	7.43			
0.517	-0.0001	7.43			
0.533	-0.0001	7.43			
0.550	0.0000	7.43			
0.567	-0.0001	7.43			
0.583	-0.0001	7.43			
0.600	-0.0001	7.43			
0.617	-0.0001	7.43			
0.633	-0.0001	7.44			
0.650	-0.0001	7.44			
0.667	-0.0001	7.44			
0.683	-0.0002	7.43			
0.700	-0.0002	7.43			
0.717	-0.0001	7.43			
0.733	-0.0002	7.43			
0.750	-0.0002	7.43			
0.767	-0.0001	7.43			
0.783	-0.0002	7.43			
0.800	-0.0003	7.43			
0.817	-0.0003	7.43			
0.833	-0.0003	7.41			
0.850	-0.0002	7.41			
0.867	-0.0002	7.41			
0.883	-0.0002	7.41			
0.900	-0.0003	7.41			
0.917	-0.0003	7.39			
0.933	-0.0003	7.40			
0.950	-0.0002	7.40			
0.967	-0.0002	7.39			
0.983	-0.0002	7.39			
1.000	-0.0002	7.37			
1.017	-0.0001	7.37			
1.033	-0.0002	7.39			
1.050	-0.0002	7.39			
1.067	-0.0002	7.39			
1.083	-0.0003	7.39			
1.100	-0.0003	7.37			
1.117	-0.0004	7.37			
1.133	-0.0003	7.35			
1.150	-0.0004	7.35			
1.167	-0.0004	7.35			
1.183	-0.0003	7.35			
1.200	-0.0003	7.37			
1.217	-0.0003	7.37			
1.233	-0.0002	7.37			
1.250	-0.0001	7.35			
1.267	-0.0002	7.35			
1.283	-0.0004	7.35			
1.300	-0.0005	7.35			
1.317	-0.0005	7.35			
1.333	-0.0004	7.35			
1.350	-0.0004	7.35			
1.367	-0.0004	7.37			
1.383	-0.0005	7.35			
1.400	-0.0005	7.35			
1.417	-0.0004	7.37			
1.433	-0.0003	7.35			
1.450	-0.0003	7.33			
1.467	-0.0002	7.33			
1.483	-0.0001	7.33			
1.500	-0.0002	7.33			
1.517	-0.0004	7.33			
1.533	-0.0006	7.33			
1.550	-0.0005	7.33			
1.567	-0.0005	7.32			
1.583	-0.0003	7.33			
1.600	-0.0004	7.33			
1.617	-0.0005	7.32			
1.633	-0.0006	7.32			
1.650	-0.0005	7.32			
1.667	-0.0006	7.32			
1.683	-0.0006	7.32			
1.700	-0.0007	7.32			
1.717	-0.0005	7.32			
1.733	-0.0006	7.30			
1.750	-0.0006	7.30			
1.767	-0.0006	7.32			
1.783	-0.0006	7.30			
1.800	-0.0007	7.30			
1.817	-0.0006	7.30			
